conversation_id,conversation_text,label,scam_category,threat_level,urgency,authority_impersonation,financial_request,otp_request,credential_request,threat_detected,emotional_manipulation,secrecy_request,detected_indicators,recommended_action
ASVD_000001,"Congratulations! part-time typing ke liye select hue hain. Salary Rs 25,000-50,000 per month. Registration fee Rs 4,999 do.",SCAM,Job Scam,MEDIUM,1,0,1,0,0,0,0,0,urgency|financial_request,Legitimate employers never ask for money upfront. Verify through the company's official website.
ASVD_000002,"HDFC Bank fraud prevention team. aapke account se Rs 45,000 ka suspicious transaction hua hai. Please share the 6-digit OTP sent to your number for verification.",SCAM,Bank Fraud,CRITICAL,1,1,0,1,1,1,0,0,urgency|authority_impersonation|otp_request|credential_request|threat,"Never share OTP, PIN, or passwords. Call your bank's official helpline number printed on your card."
ASVD_000003,Laptop ki warranty next month expire ho rahi hai. Extended warranty leni chahiye? Dekh lenge.,SAFE,None,LOW,0,0,0,0,0,0,0,0,none,No action required. This appears to be a normal conversation.
ASVD_000004,Flipkart se AC order kiya hai. Installation free hai. Wednesday ko aayega.,SAFE,None,LOW,0,0,0,0,0,0,0,0,none,No action required. This appears to be a normal conversation.
ASVD_000005,"Arre, naya gym join kiya hai ghar ke paas. Trainer bahut achha hai. Tu bhi try kar. Koi baat nahi.",SAFE,None,LOW,0,0,0,0,0,0,0,0,none,No action required. This appears to be a normal conversation.
ASVD_000006,Birth certificate ki copy chahiye. Municipal office se milegi ya online? Phir batati hoon.,SAFE,None,LOW,0,0,0,0,0,0,0,0,none,No action required. This appears to be a normal conversation.
ASVD_000007,"This is a serious matter. I am Senior Inspector. criminal complaint file hua hai. Immediately transfer Rs 50,000 or officers will come to your house.",SCAM,Police Impersonation,CRITICAL,1,1,1,0,0,1,0,1,urgency|financial_request|secrecy|authority_impersonation|threat,Hang up and contact the local police station directly. Real police never demand money over phone.
ASVD_000008,"This is a serious matter. I am Sub-Inspector. your bank account is linked to a terror funding case. Immediately transfer Rs 5,00,000 or officers will come to your house.",SCAM,Police Impersonation,CRITICAL,1,1,1,0,0,1,0,1,urgency|financial_request|secrecy|authority_impersonation|threat,Hang up and contact the local police station directly. Real police never demand money over phone.
ASVD_000009,"PM Yojana ke under Rs 1 lakh milega. Lekin Rs 3,000 government processing charges pehle dene honge. Pay now.",SCAM,Financial Manipulation,MEDIUM,1,0,1,0,0,0,1,0,urgency|financial_request|emotional_manipulation,No legitimate organization asks for fees to release refunds. Verify through official channels.
ASVD_000010,"Pata hai, vikram ko 3,000 diye the last week. Usne bola aaj return karega. Bas reminder hai.",SAFE,None,LOW,0,0,0,0,0,0,0,0,none,No action required. This appears to be a normal conversation.
ASVD_000011,"Sir/Madam, executive here from Zomato. cashback claim karna hai. Please tell me the OTP sent to your phone.",SCAM,OTP Scam,HIGH,1,0,0,1,0,0,0,0,urgency|otp_request,Never share OTP with anyone. OTPs are for your personal transactions only.
